Year,Mo,Dy,Hr:Mn,Lat,Long,Depth,Magnitude,,FER,Deaths, Place/Name  
1962,3,7,11:01,19.1,145.23,640,6.9,Mw,HRV,216,   
1964,3,28,3:36,61.01,-147.62,6,9.2,Mw,KANA,2,Great 131 Alaska EQ
1965,2,4,5:01,51.21,178.49,28,8.7,Mw,KANA,6,Is. Aleutian  
1963,10,13,5:17,44.76,149.8,26,8.5,Mw,KANA,221,Is. Kuril  
1965,1,24,0:11,-2.45,125.96,28,8.2,Mw,P&S,270,Indonesia: 71 CeramSea 
1968,5,16,0:49,40.9,143.34,26,8.2,Mw,KANA,229,Japan: 52 Tokachi-oki 
1969,8,11,21:27,43.47,147.81,45,8.2,Mw,KANA,221,Is. Kuril  
1966,10,17,21:41,-10.79,-78.68,34,8.1,Mw,KANA,115,Peru: 110 Lima 
1971,7,26,1:23,-4.88,153.18,37,8.1,Mw,P&S,190,   
1971,7,14,6:11,-5.51,153.9,44,8,Mw,P&S,190,   
1963,10,20,0:53,44.76,150.56,27,7.9,Mw,P&S,222,   
1970,5,31,20:23,-9.24,-78.84,73,7.9,Mw,KANA,109,Peru: 66794 Peru EQ
1963,11,4,0.053472222,-6.73,129.68,35,7.8,mB,ABE1,280,   
1968,5,16,10:39,41.59,142.78,11,7.8,Mw,P&S,224,   
1969,2,28,2:40,35.91,-10.57,21,7.8,Mw,P&S,739,   
1969,11,22,23:09,57.72,163.59,9,7.8,Mw,P&S,218,   
1971,12,15,8:29,56.02,163.17,21,7.8,Mw,P&S,218,   
1972,6,11,16:41,3.86,124.23,329,7.8,Mw,HRV,262,   
1973,6,17,3:55,43.22,145.74,43,7.8,Mw,P&S,224,   
1973,9,29,0:44,41.9,130.97,569,7.8,Mw,HRV,659,   
1963,8,15,17:25,-13.71,-69.32,549,7.7,Mw,HRV,118,   
1963,11,9,21:15,-8.98,-71.53,577,7.7,Mw,HRV,113,   
1963,12,18,0:30,-24.77,-176.51,35,7.7,Mw,P&S,171,   
1966,12,28,8:18,-25.50,-70.65,30,7.7,Mw,P&S,122,   
1968,8,1,20:19,16.38,122.07,52,7.7,Mw,P&S,249,Philippines(Luzon) 207  
1971,1,10,7:17,-3.23,139.74,55,7.7,Mw,P&S,201,   
1964,6,16,4:01,38.43,139.22,10,7.6,Mw,P&S,226, 26 Japan: Niigata  
1965,8,11,22:31,-15.79,167.25,46,7.6,Mw,P&S,186,   
1968,8,10,2:07,1.42,126.25,19,7.6,Mw,P&S,266,   
